index,Rótulos de Linha,cleaned_text,Contagem de Publication Number
50,FUNDACAO OSWALDO CRUZ,FUNDACAO_OSWALDO_CRUZ,10
51,FUNDAÇÃO OSWALDO CRUZ,FUNDACAO_OSWALDO_CRUZ,3
52,"FUNDACAO OSWALDO CRUZ - FIOCRUZ,BR",FUNDACAO_OSWALDO_CRUZ___FIOCRUZ,3
53,"FUNDACÃO OSWALDO CRUZ - FIOCRUZ,BR | TENDLER Miriam,BR | KATZ Naftale,BR | SIMPSON Andrew J.,BR | RAW Isaías,BR | HO Paulo Lee,BR | RAMOS Celso Raul Romero,BR",FUNDACAO_OSWALDO_CRUZ___FIOCRUZ,1
54,"FUNDACAO OSWALDO CRUZ - FIOCRUZ,BR | 奥斯瓦道·克鲁兹基金会",FUNDACAO_OSWALDO_CRUZ___FIOCRUZ,1
55,"FUNDACAO OSWALDO CRUZ - FIOCRUZ,BR | 奥斯瓦道·克鲁兹基金会,BR",FUNDACAO_OSWALDO_CRUZ___FIOCRUZ,2
56,"Fundacao Oswaldo Cruz - Fiocruz,Manguinhos, CEP-21045-900 Rio de Janeiro,BR,100126775",FUNDACAO_OSWALDO_CRUZ___FIOCRUZ,1
57,"Fundacao Oswaldo Cruz - Fiocruz,Rio de Janeiro,BR",FUNDACAO_OSWALDO_CRUZ___FIOCRUZ,1
58,FUNDAÇAO OSWALDO CRUZ (FIOCRUZ) - SUPERINTENDENCIA DE PLANEJAMENTO | CERQUEIRA DE ALMEIDA Elza Carmen | KRIEGER Marco Aurélio | GOLDENBERG Samuel,FUNDACAO_OSWALDO_CRUZ_FIOCRUZ___SUPERINTENDENCIA_DE_PLANEJAMENTO_|_CERQUEIRA_DE_ALMEIDA_ELZA_CARMEN_|_KRIEGER_MARCO_AURELIO_|_GOLDENBERG_SAMUEL,1
59,"FUNDAÇÃO OSWALDO CRUZ (FIOCRUZ) - SUPERINTENDÊNCIA DE PLANEJAMENTO,BR | TENDLER Miriam,BR | VILAR Mônica Magno,BR | ARMÔA Geraldo Rodrigues Garcia,BR | MCINTOSH Duglas,BR | SIMPSON Andrew J. G.,BR",FUNDACAO_OSWALDO_CRUZ_FIOCRUZ___SUPERINTENDENCIA_DE_PLANEJAMENTO,1
